"Country.Code","year","is.Crisis_1_for_yes","ca_gdp","fd_gdp","stfd_gdp","ca_fdi_gdp","ds_e","mr","pol.est","pol.num.sources"
"BDI",2021,0,NA,0.347651776033055,9.53301367326617e-05,NA,NA,0.258411735407944,-1.3639798164368,4
"COM",2021,0,0.00474115728323085,0.259759391119057,0.000862654998448495,-0.00310531932423389,3.42265017507734,1.0081704953178,-0.2274605929852,3
"DJI",2021,0,-0.0646300969305332,0.916207239237801,0.192433058679158,-0.0478756058158321,NA,0.120824960942167,-0.7072615623474,4
"ERI",2021,0,NA,NA,NA,NA,NA,NA,-1.0057859420776,4
"ETH",2021,0,-0.0405070844138986,0.269768991957077,0.0047595254842917,-0.0382798886978969,21.0603526825742,NA,-2.0683600902557,6
"KEN",2021,1,-0.0520546415794338,0.373380787869602,0.0219977889855998,-0.000483543330702701,20.6064872611751,0.485244469601191,-1.0896649360657,6
"MDG",2021,1,-0.0505957660311413,0.369464637151075,0.0160499177047132,-0.0168048118473402,4.97660684348722,0.529619917781731,-0.6359250545502,6
"MWI",2021,1,-0.122201846727876,0.252275150405869,0.0115314222951034,0.00602079926054863,7.11400732889455,NA,-0.1125302091241,6
"MUS",2021,0,-0.132441952791761,1.20706413880937,0.643112677610281,-0.312071732860488,29.2294344167811,1.66815819984778,0.8558095097542,5
"MOZ",2021,0,-0.228234753632641,3.98174985781113,0.112698695123409,-0.323366039454132,109.316985523642,0.438713102989232,-1.2281886339188,7
"RWA",2021,1,-0.109229658815106,0.81243450732354,0.0377753613683643,-0.019140858605884,37.8893761016353,0.654564353611112,0.170438632369,5
"SYC",2021,1,-0.106059084752247,NA,NA,-0.109897890452401,NA,0.620110095036833,0.7611091732979,4
"SOM",2021,0,NA,0.633957771648358,0.159887819188174,NA,NA,NA,-2.6832392215729,5
"SSD",2021,0,NA,NA,NA,NA,NA,NA,-2.302444934845,3
"UGA",2021,1,-0.0876742234952235,0.474145080947153,0.0437190577030168,-0.0271432574670177,12.1917234634381,NA,-0.8596583008766,6
"TZA",2021,NA,NA,0.419950190814233,0.0525483438800882,NA,19.6234933114243,NA,-0.4369655549526,6
"ZMB",2021,0,0.121648936647815,1.08571084177204,0.0571678920835722,-0.0068930250573847,13.7712449288625,0.427952673549524,0.0602163672447,6
"ZWE",2021,0,NA,0.484248755779598,0.131670587084416,NA,8.87299783567561,0.111303111019373,-1.0267831087112,6
"AGO",2021,1,0.124613017809882,0.998113174582965,0.0908540431107725,0.0489248695951537,33.3479583022866,1.22663110011098,-0.7108362317085,7
"CMR",2021,1,-0.039592093216977,0.352974732031386,0.0145101536685155,-0.0196861808932491,NA,NA,-1.406510591507,6
"CAF",2021,0,NA,0.443260085706352,0.0645010444329405,NA,NA,1.07288717467498,-2.1045353412628,4
"TCD",2021,1,NA,0.333925219861494,0.00175135276085298,NA,NA,0.0729623292818424,-1.3355396986008,4
"COG",2021,NA,NA,0.521143199166161,0.0216845218613988,NA,NA,0.352279053831645,-0.6066163182259,6
"COD",2021,NA,-0.0106124063474686,0.18587119937211,0.00820305329140946,-0.0303097458342575,NA,0.339913329470008,-1.6146669387817,7
"GNQ",2021,0,NA,NA,NA,NA,NA,0.0185235086142482,-0.2867414057255,4
"GAB",2021,1,NA,0.381959147303587,0.000832921245671074,NA,NA,NA,-0.0859756395221,5
